Modem name: 
Modem model: 
command,Expected result,Got result
ATI,OK,OK
AT+GMI,OK,Error
AT+GMM,OK,OK
AT+GMR,OK,OK
AT+CGMI,OK,OK
AT+CGMM,OK,OK
AT+CGMR,OK,Error
AT+GSN,OK,OK
AT+CGSN,OK,OK
AT&F,OK,OK
AT&V,OK,OK
AT&W,OK,OK
ATV1,OK,OK
ATS5?,OK,OK
ATX,OK,Error
AT+CFUN=?,OK,OK
AT+CPIN=?,OK,OK
AT+CMEE=?,OK,OK
AT+CSCS=?,OK,Error
AT+QURCCFG=?,OK,OK
AT&C,OK,OK
AT&D,OK,OK
AT+IFC=?,OK,OK
AT+ICF=?,OK,OK
AT+IPR=?,OK,OK
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+CIMI=?,OK,Error
AT+CLCK=?,OK,Error
AT+CPWD=?,OK,Error
AT+CSIM=?,OK,Error
AT+CRSM=?,OK,Error
AT+QCCID=?,OK,Error
AT+QPINC=?,OK,Error
AT+QSIMDET=?,OK,Error
AT+QSIMSTAT=?,OK,Error
AT+CREG=?,OK,Error
AT+CSQ=?,OK,Error
AT+CPOL=?,OK,Error
AT+COPN=?,OK,Error
AT+CTZU=?,OK,Error
AT+CTZR=?,OK,Error
AT+QNWINFO=?,OK,Error
ATA,OK,Error
AT+CVHU=?,OK,Error
AT+CHUP=?,OK,Error
ATS0?,OK,Error
ATS6?,OK,Error
ATS7?,OK,Error
ATS8?,OK,Error
ATS10?,OK,Error
AT+CBST=?,OK,Error
AT+CSTA=?,OK,Error
AT+CLCC=?,OK,Error
AT+CR=?,OK,Error
AT+CRC=?,OK,Error
AT+CRLP=?,OK,Error
AT+QECCNUM=?,OK,Error
AT+CNUM=?,OK,Error
AT+CPBF=?,OK,Error
AT+CPBR=?,OK,Error
AT+CPBS=?,OK,Error
AT+CPBW=?,OK,Error
AT+CSMS=?,OK,Error
AT+CMGF=?,OK,Error
AT+CSCA=?,OK,Error
AT+CPMS=?,OK,Error
AT+CMGD=?,OK,Error
AT+CMGL=?,OK,Error
AT+CMGR=?,OK,Error
AT+CMGS=?,OK,Error
AT+CMMS=?,OK,Error
AT+CMGW=?,OK,Error
AT+CMSS=?,OK,Error
AT+CNMA=?,OK,Error
AT+CNMI=?,OK,Error
AT+CSCB=?,OK,Error
AT+CSDH=?,OK,Error
AT+CSMP=?,OK,Error
AT+QCMGS=?,OK,Error
AT+QCMGR=?,OK,Error
AT+QCSMP=?,OK,Error
AT+QSMSR=?,OK,Error
AT+QSMSL=?,OK,Error
AT+CGATT=?,OK,Error
AT+CGDCONT=?,OK,Error
AT+CGQREQ=?,OK,Error
AT+CGQMIN=?,OK,Error
AT+CGEQREQ=?,OK,Error
AT+CGEQMIN=?,OK,Error
AT+CGACT=?,OK,Error
AT+CGDATA=?,OK,Error
AT+CGPADDR=?,OK,Error
AT+CGCLASS=?,OK,Error
AT+CGREG=?,OK,Error
AT+CGEREP=?,OK,Error
AT+CGSMS=?,OK,Error
AT+CEREG=?,OK,Error
AT+QGDCNT=?,OK,Error
AT+QAUGDCNT=?,OK,Error
AT+CCFC=?,OK,Error
AT+CCWA=?,OK,Error
AT+CHLD=?,OK,Error
AT+CLIP=?,OK,Error
AT+CLIR=?,OK,Error
AT+COLP=?,OK,Error
AT+CSSN=?,OK,Error
AT+CUSD=?,OK,Error
AT+CLVL=?,OK,Error
AT+CMUT=?,OK,Error
AT+QAUDLOOP=?,OK,Error
AT+VTS=?,OK,Error
AT+VTD=?,OK,Error
AT+QAUDMOD=?,OK,Error
AT+QDAI=?,OK,Error
AT+QPOWD=?,OK,Error
AT+CCLK=?,OK,Error
AT+CBC=?,OK,Error
AT+QSCLK=?,OK,Error
