Modem name: ATI
Modem model: 
command,Expected result,Got result
AT+QCSQ=0,OK,OK
ATI,OK,OK
AT+GMI=?,OK,OK
AT+GMM=?,OK,OK
AT+GMR=?,OK,OK
AT+CGMI=?,OK,OK
AT+CGMM=?,OK,OK
AT+CGMR=?,OK,OK
AT+GSN=?,OK,OK
AT+CGSN=?,OK,OK
AT&F,OK,OK
AT&V,OK,OK
AT&W,OK,OK
ATZ,OK,OK
ATQ,OK,OK
ATV1,OK,OK
ATE0,OK,OK
A/,OK,OK
ATS3?,OK,Error
ATS4?,OK,Error
ATS5?,OK,Error
ATX,OK,OK
AT+CFUN=?,OK,OK
AT+CMEE=?,OK,OK
AT+CSCS=?,OK,OK
AT+QURCCFG=?,OK,OK
AT&C,OK,OK
AT&D,OK,OK
AT+IFC=?,OK,OK
AT+ICF=?,OK,OK
AT+IPR=?,OK,OK
AT+CPAS=?,OK,OK
AT+CEER=?,OK,OK
AT+QCFG=?,OK,OK
AT+QCFG=?,OK,OK
AT+QCFG=?,OK,OK
AT+QCFG=?,OK,OK
AT+QINDCFG=,OK,Error
AT+CIMI=?,OK,OK
AT+CLCK=?,OK,OK
AT+CPIN=?,OK,OK
AT+CPWD=?,OK,OK
AT+CSIM=?,OK,OK
AT+CRSM=?,OK,OK
AT+QCCID=?,OK,OK
AT+QPINC=?,OK,OK
AT+QINISTAT=?,OK,OK
AT+QSIMDET=?,OK,OK
AT+QSIMSTAT=?,OK,OK
AT+COPS?,OK,OK
AT+CREG=?,OK,OK
AT+CSQ=?,OK,OK
AT+CPOL=?,OK,Error
AT+COPN=?,OK,OK
AT+CTZU=?,OK,OK
AT+CTZR=?,OK,OK
AT+QLTS=?,OK,OK
AT+QNWINFO=?,OK,OK
AT+QSPN=?,OK,OK
AT+QENG=?,OK,OK
AT+QCAINFO=?,OK,Error
ATA,OK,Error
ATD,OK,Error
ATH,OK,OK
AT+CVHU=?,OK,OK
AT+CHUP=?,OK,OK
ATS0?,OK,OK
ATS6?,OK,Error
ATS7?,OK,Error
ATS8?,OK,Error
ATS10?,OK,Error
AT+CSTA=?,OK,OK
AT+CLCC=?,OK,OK
AT+CR=?,OK,OK
AT+CRC=?,OK,OK
AT+CRLP=?,OK,OK
AT+QECCNUM=?,OK,OK
AT+QHUP=?,OK,OK
AT^DSCI=?,OK,OK
AT+QCHLDIPMPTY=?,OK,OK
AT+CNUM=?,OK,OK
AT+CPBF=?,OK,OK
AT+CPBR=?,OK,Error
AT+CPBS=?,OK,Error
AT+CPBW=?,OK,Error
AT+CSMS=?,OK,OK
AT+CMGF=?,OK,OK
AT+CSCA=?,OK,Error
AT+CPMS=?,OK,OK
AT+CMGD=?,OK,Error
AT+CMGL=?,OK,OK
AT+CMGR=?,OK,OK
AT+CMGS=?,OK,Error
AT+CMMS=?,OK,OK
AT+CMGW=?,OK,Error
AT+CMSS=?,OK,OK
AT+CNMA=?,OK,OK
AT+CNMI=?,OK,OK
AT+CSCB=?,OK,OK
AT+CSDH=?,OK,OK
AT+CSMP=?,OK,Error
AT+CGATT=?,OK,OK
AT+CGDCONT=?,OK,OK
AT+CGQREQ=?,OK,OK
AT+CGQMIN=?,OK,OK
AT+CGEQREQ=?,OK,OK
AT+CGEQMIN=?,OK,OK
AT+CGACT=?,OK,OK
AT+CGDATA=?,OK,OK
AT+CGPADDR=?,OK,OK
AT+CGCLASS=?,OK,OK
AT+CGREG=?,OK,OK
AT+CGEREP=?,OK,OK
AT+CGSMS=?,OK,Error
AT+CEREG=?,OK,OK
AT+QGDCNT=?,OK,OK
AT+QAUGDCNT=?,OK,OK
AT+QMTUINFO=?,OK,Error
AT$QCRMCALL=?,OK,OK
AT+QNETDEVSTATUS=?,OK,OK
AT+CCFC=?,OK,OK
AT+CCWA=?,OK,OK
AT+CHLD=?,OK,OK
AT+CLIP=?,OK,OK
AT+CLIR=?,OK,OK
AT+COLP=?,OK,OK
AT+CSSN=?,OK,OK
AT+CUSD=?,OK,OK
AT+CLVL=?,OK,OK
AT+CMUT=?,OK,OK
AT+QAUDLOOP=?,OK,OK
AT+VTS=?,OK,OK
AT+VTD=?,OK,OK
AT+QAUDMOD=?,OK,OK
AT+QDAI=?,OK,OK
AT+QEEC=?,OK,OK
AT+QSIDET=?,OK,OK
AT+QMIC=?,OK,OK
AT+QRXGAIN=?,OK,OK
AT+QIIC=?,OK,OK
AT+QTONEDET=?,OK,OK
AT+QLDTMF=?,OK,OK
AT+QLTONE=?,OK,OK
AT+QAUDCFG=?,OK,OK
AT+QPOWD=?,OK,OK
AT+CCLK=?,OK,OK
AT+CBC=?,OK,OK
AT+QADC=?,OK,OK
AT+QSCLK=?,OK,OK
