Modem name: Quectel
Modem model: EC25-EU
command,Expected result,Got result
ATI,OK,OK
AT+GMI,OK,OK
AT+GMM,OK,OK
AT+GMR,OK,OK
AT+CGMI,OK,OK
AT+CGMM,OK,OK
AT+CGMR,OK,OK
AT+GSN,OK,OK
AT+CGSN,OK,OK
AT&F,OK,OK
AT&V,OK,OK
AT&W,OK,OK
ATZ,OK,OK
ATQ,OK,OK
ATV1,OK,OK
ATE0,OK,OK
A/,OK,OK
ATS3?,OK,OK
ATS4?,OK,OK
ATS5?,OK,OK
ATX,OK,OK
AT+CFUN=?,OK,OK
AT+CPIN=?,OK,OK
AT+CMEE=?,OK,OK
AT+CSCS=?,OK,OK
AT+QURCCFG=?,OK,OK
AT&C,OK,OK
AT&D,OK,OK
AT+IFC=?,OK,OK
AT+ICF=?,OK,OK
AT+IPR=?,OK,OK
AT+CPAS=?,OK,OK
AT+CEER=?,OK,OK
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,Error
AT+QCFG=?,OK,OK
AT+CIMI=?,OK,OK
AT+CLCK=?,OK,OK
AT+CPWD=?,OK,OK
AT+CSIM=?,OK,OK
AT+CRSM=?,OK,OK
AT+QCCID=?,OK,OK
AT+QPINC=?,OK,OK
AT+QSIMDET=?,OK,OK
AT+QSIMSTAT=?,OK,OK
AT+CREG=?,OK,OK
AT+CSQ=?,OK,OK
AT+CPOL=?,OK,OK
AT+COPN=?,OK,OK
AT+CTZU=?,OK,OK
AT+CTZR=?,OK,OK
AT+QNWINFO=?,OK,OK
ATA,OK,Error
AT+CVHU=?,OK,OK
AT+CHUP=?,OK,OK
ATS0?,OK,OK
ATS6?,OK,OK
ATS7?,OK,OK
ATS8?,OK,OK
ATS10?,OK,OK
AT+CBST=?,OK,OK
AT+CSTA=?,OK,OK
AT+CLCC=?,OK,OK
AT+CR=?,OK,OK
AT+CRC=?,OK,OK
AT+CRLP=?,OK,OK
AT+QECCNUM=?,OK,OK
AT+CNUM=?,OK,OK
AT+CPBF=?,OK,OK
AT+CPBR=?,OK,OK
AT+CPBS=?,OK,OK
AT+CPBW=?,OK,OK
AT+CSMS=?,OK,OK
AT+CMGF=?,OK,OK
AT+CSCA=?,OK,OK
AT+CPMS=?,OK,OK
AT+CMGD=?,OK,OK
AT+CMGL=?,OK,OK
AT+CMGR=?,OK,OK
AT+CMGS=?,OK,OK
AT+CMMS=?,OK,OK
AT+CMGW=?,OK,OK
AT+CMSS=?,OK,OK
AT+CNMA=?,OK,OK
AT+CNMI=?,OK,OK
AT+CSCB=?,OK,OK
AT+CSDH=?,OK,OK
AT+CSMP=?,OK,OK
AT+QCMGS=?,OK,OK
AT+QCMGR=?,OK,OK
AT+QCSMP=?,OK,OK
AT+QSMSR=?,OK,OK
AT+QSMSL=?,OK,OK
AT+CGATT=?,OK,OK
AT+CGDCONT=?,OK,Error
AT+CGDCONT=?,OK,OK
AT+CGQREQ=?,OK,Error
AT+CGQREQ=?,OK,OK
AT+CGQMIN=?,OK,Error
AT+CGQMIN=?,OK,OK
AT+CGEQREQ=?,OK,Error
AT+CGEQREQ=?,OK,Error
AT+CGEQREQ=?,OK,Error
AT+CGEQREQ=?,OK,Error
AT+CGEQREQ=?,OK,OK
AT+CGEQMIN=?,OK,Error
AT+CGEQMIN=?,OK,Error
AT+CGEQMIN=?,OK,Error
AT+CGEQMIN=?,OK,Error
AT+CGEQMIN=?,OK,OK
AT+CGACT=?,OK,OK
AT+CGDATA=?,OK,OK
AT+CGPADDR=?,OK,OK
AT+CGCLASS=?,OK,OK
AT+CGREG=?,OK,OK
AT+CGEREP=?,OK,OK
AT+CGSMS=?,OK,OK
AT+CEREG=?,OK,OK
AT+QGDCNT=?,OK,OK
AT+QAUGDCNT=?,OK,OK
AT+CCFC=?,OK,OK
AT+CCWA=?,OK,OK
AT+CHLD=?,OK,OK
AT+CLIP=?,OK,OK
AT+CLIR=?,OK,OK
AT+COLP=?,OK,OK
AT+CSSN=?,OK,OK
AT+CUSD=?,OK,OK
AT+CLVL=?,OK,OK
AT+CMUT=?,OK,OK
AT+QAUDLOOP=?,OK,OK
AT+VTS=?,OK,OK
AT+VTD=?,OK,OK
AT+QAUDMOD=?,OK,OK
AT+QDAI=?,OK,OK
AT+QPOWD=?,OK,OK
AT+CCLK=?,OK,OK
AT+CBC=?,OK,OK
AT+QSCLK=?,OK,OK
